公告id	股东全称	股东简称	变动截止日期	变动价格	变动数量	变动后持股数	变动后持股比例
1757435	福建	实业	2015-09-02		1000000		
1758447	太平洋证券		2015-09-07				
1760665	企业新华水利控股集团公司	新华控股	2015-09-08		3749000		
1761385	武汉市汉阳区国有资产监督管理办公室						
1761407		港华投资					
1765533		上实置业	2015-09-15		700000		
1765553	江苏鱼跃科技发展有限公司	鱼跃科技					
1765847	上海人寿保险股份有限公司	上海人寿	2015-09-15				0.172700
1766370		哈药集团	2015-09-15				
1766820	中国机械工业集团有限公司	国机集团	2015-09-16				
1767064	河南豫联能源集团有限责任公司	豫联集团	2015-09-16		506000		
1767445	有限公司	福星集团		9.500000		3037482	0.017900
177336	福建	投资	2012-01-20				0.147800
177583	江苏	集团	2012-04-24				
1777472	有限公司	海航旅游	2015-09-30		1232700	2428600	
1778298	金世旗国际控股股份有限公司	金世旗控股					
1783135	河北以岭医药集团有限公司						
1784166	昆山市申昌科技有限公司	申昌科技	2015-10-16		4855400		
17946582	中国	咨询	2017-02-28		6443864		
179863	四川蓝光实业集团有限公司	蓝光集团	2012-03-23		80300		
17997320	浙江新湖集团股份有限公司	新湖集团	2017-12-07				
1804724	福建康田实业集团有限公司	康田实业	2015-11-02				
1807129	深圳市乐仁科技有限公司	深圳乐仁	2015-11-05				
1818658	特华投资控股有限公司	特华投资	2015-09-17				
1826569	天津天物国际贸易发展有限公司	天物国际	2015-09-01		1600000		
18274127		潞安集团					
18275018	有限公司	中国泛海	2017-12-08	7.545000	954863		0.670400
18278405	有限公司	金控投资	2017-11-27				
18281252	青海	金阳光投资	2017-12-11		1246900		
18284711	有限公司	财通基金	2018-03-11	12.900000	5074713		
18285992	杨卫东		2017-12-11	26.970000	1182912		0.005600
18291704		方正东亚聚赢30号	2017-12-12			27384039	0.010000
18301922	江苏	投资					
1834021	上海文化广播影视集团有限公司	文广集团	2015-08-24		350000		
1834576				18.860000			
1846142	上海	投资	2015-06-24		14520000		
1852709	上海华服投资有限公司	华服投资	2015-07-09				
1857894		西航科技					
1858602				5.817000			
1860261	江苏吴江丝绸集团有限公司	丝绸集团	2016-01-05				
1861157	有限公司	晋正企业	2015-12-30		437251		
1863177	湖北省长江产业投资集团有限公司	长投集团			528200		0.153200
1865068		齐翔集团	2015-07-10				
1865172	公司	川投集团				2230183609	0.515600
1865412	厦门	国贸股份公司	2016-01-08				
1865820		株洲国投	2016-01-11	8.157000			0.040800
1868604	福建	集团			5449014		
1868685	浙江恒逸集团有限公司	恒逸集团	2016-01-14	8.780000			
1869546		恒顺集团	2016-01-15				
1870307	晋中东鑫建材贸易有限公司	东鑫建材	2016-01-15		511100		
1870905	技术有限公司	中国四维	2016-01-15		1070185	86994019	
1870995	中船重工科技投资发展有限公司	中船重工投资	2016-01-18		300000		0.000559
187142	北京	萌置业			2700000		0.031900
18752660		万木隆投资	2017-12-15	52719761			
18753727	中通投资有限公司	中通投资	2017-09-14				
18758923	公司	中信信托		19.750000			
18760258	湖北省科技投资集团有限公司	湖北科投	2017-11-29	22.019400	418918		
18760948		神铁控股	2017-12-18				
18779952	王震宇				30000		
1879622	天水华天电子集团股份有限公司	华天电子集团	2016-01-26				
18809894		绵阳基金	2017-12-20				
18810574	兴业信托—兴运扶摇6号集合资金信托计划	信托计划	2017-12-21	11.805000	2898300		
18820014		联发集团					
18820272	新余市伊川投资管理有限公司	伊川公司	2017-12-21				
18820452	管理有限公司	海开源	2017-12-20				
18832947		杭州贝昌				20049900	
18833489	上海	投资	2017-12-08	26.810000			
18849794	深圳市	创新	2017-09-27	17.740000	12000000	620.930000	
18855957	江西洪都航空工业股份有限公司						
18856482	哈尔滨投资集团有限责任公司	哈投集团	2017-12-29				
18857485	广东省广新控股集团有限公司		2017-12-29				0.208700
1886101	江苏旷达创业投资有限公司	旷达创投	2016-01-29		440000		
18861873	黄兴安		2017-12-29	6.250000			
18862083	广东省科技创业投资有限公司	广东科创		13.084000			
18862434	哈尔滨飞机工业集团有限责任公司	哈飞集团					0.062500
18865959		佳沃集团	2018-01-02				
18869425		清华控股	2018-01-04			80102779	
18871887		依顿投资	2017-10-31				
18872794		劲拓股份	2017-09-20				
18876744	冯忠						
18877283			2018-01-08	7.070000	1300		0.608800
1888633	化工集团有限责任公司	西	2016-02-01				0.633900
18887801	万丰奥特控股集团有限公司	万丰集团	2018-01-11				
18887899				14.900000			
18891690	延万华		2018-01-12		64380		0.004500
18891722			2017-11-28	26.540000			
18891728	京山京源科技投资有限公司	京源科技	2018-01-12				0.274200
1891176	有限公司	华夏资本	2016-02-03				
1891548		兴源控股	2016-02-03				
1891645		凯信投资		21.058000			
1895562	安徽	投资	2016-02-05		1980121		0.509100
1903567	东吴长江润发1号集合资产管理计划	长江润发集团	2016-02-24		1537041		
1903970		鹏华资管计划	2016-02-25		2051999		
1904569		保利集团	2016-02-26				
1907927	天水华天电子集团股份有限公司	华天电子集团	2016-02-29		250000		
1908098	浙江日发控股集团有限公司	日发集团	2016-02-27	17.640000	200000		0.445900
1908776		中国中信					
1909091		重庆中新融泽投资	2016-02-26				
19164245							
19164676	财通基金管理有限公司(代表旗下资产管理计划)	财通基金	2018-01-15				
19168516	华茂集团股份有限公司	华茂集团	2017-08-24	16.070000	1350000		
19168584		新疆致远					
19168649	深圳市香江股权投资管理有限公司	南方香江或其关联方计划	2018-01-16	3.690000	4594844	34033787	0.010000
19168842	长城影视文化企业集团有限公司	长城集团	2017-07-28		8988522		
19172845	张鹏程		2017-11-28				
19176164	国民信托·德琪1号集合资金	科迪集团				0	0.443378
19176743		常州诺亚科技	2018-01-18				
19176933					689340		
19180501	周文		2017-09-27	27.653000	1334961		
19181718		欣胜投资	2017-12-19	13.360000			
19186582	东旭集团员工成长共赢计划	东旭集团		9.120000	11190096		
19197296							
19201305		嘉科投资	2018-01-23	25.140000			
19201988	浙江海越科技有限公司	海越科技	2018-01-23	8.883000			0.321700
19209037	阜宁稀土意隆磁材有限公司	意隆磁材					
19217992		汉航集团					
1922777	中南城市建设投资股份有限公司	中南城投	2016-03-04				
19230657	深圳市	资产	2018-01-30				0.203200
19235050			2018-01-31				
19235215	何志涛		2018-01-23		250000		
1923836	中国-比利时直接股权投资基金	中比基金		17.470000			
19239081		国华人寿代表万能三号	2018-01-31				
19239098		恒阳投资	2017-11-27			1115808	
19239119		金阳光投资	2018-02-01				
19239276		南通综艺投资	2018-02-01				
19239288			2018-02-01				
19242103	兰州	集团	2018-01-31		2670600		
19242542	无锡国联卓成创业投资有限公司	无锡国联	2018-02-02				0.005300
19242582	新余市伊源投资管理有限公司	伊源公司					
19242812	重庆	小康控股	2018-02-02				
1925064		经发集团	2016-02-22				0.206000
1925232		兵团建工集团	2016-03-07		5533010	254955930	
1927136	西南商业大厦股份有限公司	华夏西部	2016-03-08				
19274117	北京	投资					0.026300
19274982	北京科锐北方科技发展有限公司	科锐北方	2018-02-05	8.510000	241200		
19279015		依顿投资					
19279148		华统集团	2018-02-06				
19279546		信托计划	2018-02-06		5000000		
19279583			2018-02-02				
19279668		美林控股	2018-02-06				
19279765	利群集团股份有限公司	利群集团	2018-02-01				
19283181			2017-12-29	5.493000			
19284026	有限公司	西子国际	2018-02-07		2181686		0.319700
19284497	有限公司	中核资源	2018-02-06	4.600000		4347300	
19288698	公司兰州亚太工贸集团有限公司	海南亚太					
19293448		盈联控股	2018-01-30	14.980000	430640		
1929399		斯米克工业	2016-03-10				
19297267		金融街集团	2018-02-09				
19298558	管理股份有限公司	中国华融	2018-02-12			82811667	0.090600
19299660		华润医药投资					
19300039	楚昌投资集团有限公司	楚昌集团	2018-02-09				
19305728		紫晨投资	2018-02-12				
19308048	新余市伊源投资管理有限公司	伊源公司	2018-02-12				
1931024	中南城市建设投资股份有限公司	中南城投	2016-03-11		380000		
19311461		达晨投资	2017-12-13	36.920000	160000		
19311809	青岛市企业发展投资有限公司	青岛企发投	2018-02-23				
19333921	云南省投资控股集团有限公司	云投集团	2018-02-12				
19333922		中科汇通	2018-02-23	10.670000			
19352019		金石投资	2017-12-28				
19412109	石家庄鑫汇金投资有限公司	河北汇金机电	2018-03-12				
19416818	河南	控股	2018-03-09				
1972752	新余全球星投资管理有限公司		2016-03-14				
19973015	汇洋企业有限公司	汇洋公司					
19974405		信托计划	2018-02-06				
20086079	阜新金胤能源投资有限公司	阜新金胤	2018-03-14		5000000		
20162858	建银国际医疗产业股权投资有限公司	建银医疗	2017-12-18		345000		0.104400
20170909	厦门	集团	2017-12-19				
20173736	安徽江淮汽车集团控股有限公司	江汽控股	2018-02-12				
20173784	佛山市顺德区	投资	2018-03-20	15.599000	472200		
20175811	深圳市创新投资集团有限公司	深创投	2018-03-07				
20176284	北京	和恒丰	2018-03-21				
20179548		上海柏智	2018-02-26	16.800000	20000		
20183463	赵冬梅		2018-03-23		800000		
20199948	览海医疗产业投资股份有限公司	览海投资	2018-03-27	9.060000	25630878		
20201280	有限公司	山东龙脊岛	2018-02-05		1050595		
20202187			2018-03-27				
20203396		太仓德源	2018-03-12	7.520000			
20207229	曲水	科技	2017-11-01	6.110000	32854400		
20209050		华软创投	2018-03-28			3463400	0.049998
20245323	股份有限公司	上海同华					0.126700
2024855	南宁建宁水务投资集团有限责任公司	建宁集团	2016-03-16				
20259860	吉林	集团	2018-04-03		1250000		
20284857	正鸿发展有限公司				4700		
20296770	利群集团股份有限公司	利群集团	2018-04-13				
20302865	江苏	投资					
2030442	劲霸投资控股有限公司	劲霸投资	2016-03-18				
20327007		上海雅弘	2017-10-31				
20369286	卓傲国际有限公司	卓傲国际					
2037232		日阪制作	2016-03-22				
2039714		中泽嘉盟					
20399104		康恩贝	2017-10-25				
20483118	深圳市创新投资集团有限公司	深创投					0.019400
20503244	福建	集团			5557644		0.080000
20504361	山东省鲁信投资控股集团有限公司	鲁信集团	2018-05-02				
20506302		海淀科技	2018-02-13				
20526177	有限公司	东方集团投资					0.289200
20526526	新疆晁骏股权投资有限公司	晁骏投资		12.900000			
20529149			2018-05-03		110000		
20536333	华能能源交通产业控股有限公司						
20546794	上海文化广播影视集团有限公司	文广集团	2018-05-04				
20595291		益民公司	2017-05-08				
20595631		巨龙控股	2018-05-03		10000		
20595809	韵升控股集团有限公司	韵升控股	2018-05-07				
216908	浙江	大集团	2013-09-16		109000		
2172442		西藏玉昌	2016-03-31				0.037500
218115	石河子众邦股权投资管理合伙企业	众邦投资	2013-09-25				0.106900
218194	黑龙江省公路桥梁建设集团有限公司	路桥集团	2009-05-15				0.295400
218408	衡水	集团	2009-06-18		955450	21145758	0.151000
218770	香港新科创力有限公司	新科创力	2009-11-13				
2187939	有限公司	吉隆瑞科	2016-03-18	24.400000			
219163	有限公司	创华投资	2013-07-24				
219818		长和投资	2013-09-09				
220313		宜华集团	2013-09-24	7			
2203190	中南城市建设投资有限公司	中南城投	2016-02-01	14.800000	1458382	805166630	
222026	公司	德州热电				19072345	
222062		华通集团	2013-10-10				
222105	有限公司	福建劲达	2013-10-18				
222368		长安信托持有天邦股份	2013-10-21				
223100	公司	航天科技财务	2013-03-01				
226650		赛富成长基金	2013-11-18				0.049900
2303929		万泽集团	2016-04-25		500100		
2314808		佳源公司		17.680000			
2322531	新余	投资	2016-04-14		30000		0.041000
2333708	股份有限公司	新华资产	2016-04-27	5.200000	600000		
2334621	新余市华信远景投资咨询有限公司	华信远景			5800000		
2346855	山东	达					0.000200
235409			2013-04-22				
2359109	管理有限公司	上海亨升	2015-01-28				
236188	长沙矿冶研究院有限责任公司	长沙矿冶院	2013-01-28				
2369529	徐州	投资	2016-05-09		9600000		
2372429	深圳市	中科创资产	2016-05-11		1000000		
237674	拉萨泰山	实业	2012-09-11				
2382011		建投集团	2016-05-16	7.560000	1017401		
239897	乌鲁木齐曜丰股权投资有限合伙企业	曜丰投资	2012-12-18	10	1500000		
269414	青岛海尔	海尔集团	2014-07-23		899000		
277846	管理有限公司	上海淮矿	2015-01-06				
278871	有限公司	宝盈基金	2015-01-08				
278906	石河子	投资	2015-01-08				
279829	铜陵有色金属集团股份有限公司	铜陵有色	2015-01-10				
281208	广州高金技术产业集团有限公司	广州高金	2015-01-12				0.299900
282161	石河子	投资	2015-01-09				
285784		鲁信集团					
294923		盛达集团	2014-12-18				
29662	武汉	科技	2014-05-23		442746		
299580	中国机械工业集团有限公司	国机集团	2014-12-11				
302361	福建省	能源集团	2014-12-08				
302608	杭州富阳容大控股集团有限公司	容大控股	2014-11-28	9.310000			0.061100
304231	霍尔果斯众合股权投资管理合伙企业	众合投资	2014-12-04				
304374	山东省鲁信投资控股集团有限公司	鲁信集团	2014-12-04				
305217	安徽中鼎控股(集团)股份有限公司	中鼎集团	2014-12-03				
308879		广东知光	2014-11-27	50.580000			
309116	西藏	投资	2014-11-26				
309795	宿迁市迪智成投资咨询有限公司	迪智成投资	2014-11-25				0.067000
313759	达孜县	投资	2014-11-19				
31395	湖北	投资	2014-05-22	25	5480000		
315397	山东华源创业投资有限公司	山东华源	2014-03-03	10.280000		43812506	
315442		奥克集团	2014-09-03		2190534	186568549	
318184	南京钢铁联合有限公司	南钢联合	2014-11-07		499963		
32004	中国南方工业集团公司	南方集团	2014-05-21		12000000		
321255	大丰市东润投资管理有限公司	东润投资		9.150000	400		
322371			2014-08-20				
329663	中国工商银行股份有限公司湖北省分行	工行省分行	2009-01-16				
3469766		中科创资产	2015-07-15				
349847		中国恒天	2014-08-18				0.049900
350028	江苏中超投资集团有限公司	中超集团	2014-09-25	10.220000			
356116	南京新联	创业园	2014-08-18		2400000		
356277		香港敏丰					
356501	有限公司	香港劲达	2014-09-02	11.200000			
357121	湖南友谊阿波罗控股股份有限公司	友阿控股	2014-09-12				
358597	深圳市	投资					
360134	乌鲁木齐曜丰股权投资有限合伙企业	曜丰投资	2014-09-03	13.560000	300000		
361272	湖南友谊阿波罗控股股份有限公司	友阿控股			10000000		
361767	昌吉州国有资产投资经营有限责任公司	国投公司	2014-09-03		200000		
362240		贵航集团	2014-08-26		1000000		
362524		南山集团	2014-09-02				
363229	江苏	强投资	2014-08-30	10			
363651	LIMITED	SOHA	2014-06-27	15.370000	600		
367229		马钢集团	2008-11-26		13760000		
370408		日月控股	2014-08-26		12000000		
373025	深圳市宝安宝利来实业有限公司	宝利来实业	2014-08-21				
379786		阿联酋绿色尼罗商业	2013-05-24	12.800000			
380934	昌吉州国有资产投资经营有限责任公司	国投公司	2014-08-19		300000		
382663	乌鲁木齐杰得股权投资合伙企业	杰得投资	2014-08-15				
385337	北京	轫开	2014-08-13	17.740000			
385403			2014-08-08	12.650000	2607500		
386372		巨力集团	2014-08-12				
386433	王敏夫妇		2014-08-12	11.540000			
387171	江苏中超投资集团有限公司	中超集团	2014-08-12	8.060000			
392112	武汉	开	2009-06-22		2756000	13103115	
393385		光明食品集团			3489609		
394389	浙江九龙山国际旅游开发有限公司	九龙山国旅					
395034		舜天集团					
397455	中国石油化工集团公司	中国石化集团	2013-11-08				
398789		市北集团	2013-11-12				0.419400
399340	中国昊华化工集团股份有限公司	昊华集团	2014-08-01				0.039700
403633		烟糖集团	2009-09-02				
403897		马钢集团	2009-09-11				
406317	中国北方机车车辆工业集团公司	北车集团	2013-07-09		8104400		
407072	拉萨泰山	实业					0.039100
407888		绿庭香港	2013-08-30				
407948		民生超市			35500000	172300000	
412963	管理有限公司	上海汇能	2009-11-16				0.040800
416583	江西昌九化工集团有限公司	昌九集团	2010-02-22				
417095	运永泰红磡控股集团有限公司	永泰红磡	2010-01-27		7350000		
417295	上海华铭投资有限公司	上海华铭	2010-01-20		5000000		
417447	广州市银河国际投资有限公司	广州银河	2010-02-08				
417467	控股集团有限公司	永泰红	2010-01-15		3376001		
421103		中国南方工业集团	2010-08-03				0.320000
422253	上海市浦东新区国有资产监督管理委员会	新区国资					
424197	江苏	阳光集团	2008-11-14				
425921	四川宏达实业有限公司	宏达实业	2011-06-29				
441983		美欣达集团					
447169		城建集团	2014-07-10				
449102	北京城建集团有限责任公司	城建集团	2014-07-07				
470096	上海	医药产业					
474308	苏州天马医药集团有限公司	天马集团	2014-07-03		8000000		
489210	衡水	集团	2010-03-19		1330000	12536208	0.089500
491716	中国建设银行股份有限公司吉林省分行	吉林建行	2010-04-26		4064940	34340240	
4922129		达晨创世					
4922191		国星集团	2015-06-15				0.050000
492314		民丰集团	2010-05-14				
4930724							0.050000
493482		国联集团	2010-06-10			24724262	
4937019	深圳市广晟投资发展有限公司	深圳广晟投资	2016-05-18	9.233000	18002924		
4939331	湖南省粮油食品进出口集团有限公司	粮油集团	2016-06-07		4000000		
4939627	杭州滨江投资控股有限公司	滨江控股	2016-06-07		1520000	1250644629	0.402400
4939983							0.068500
4944929	投资有限合伙企业	石河子金凯		25.650000	1000000		
4950492	上海挚信投资管理有限公司	挚信投资	2016-06-14				
4955492	有限公司	劲辉国际	2016-06-14				
498936	杭州	惦	2010-09-17		1100000	7530786	
499002	中国建设银行股份有限公司吉林省分行	吉林建行	2010-11-26		4064940		
500349		东银集团	2011-01-25		50000		
500546	雅戈尔集团股份有限公司	雅戈尔	2011-01-27				
501426	上海盛宇企业投资有限公司	盛宇投资			10336987		
505484	白银磊聚鑫铜业有限公司	白银磊聚鑫					
510549		中轩投资	2014-02-27	17.350000			
5232590	有限公司	劲辉国际		8.430000			
52374		大永真空	2010-01-15	18.010000			
535078	青岛海尔	青岛海尔厨房设施	2014-06-25		899000		
53536	上海	投资	2010-12-21				
536085	慈溪	物产	2007-01-15		2881700		
544810	南京钢铁联合有限公司	南钢股份	2007-07-25			671855049	
545200	重庆	置业	2007-08-08				
545931	中国	华融公司	2007-09-24				
546206	武威荣华工贸有限公司	荣华工贸					0.024800
546226	上海	集团	2007-09-05				
54988	创业投资有限公司	复星化工	2010-12-13				0.149900
550622	天津市机电工业控股集团公司	机电集团	2007-12-21				0.075900
551034							
551337	上海和远科技发展有限公司		2007-12-28				
552622		张江集团	2008-09-16				
553390	公司	大杨集团	2008-10-13	3.280000			
554175		京能国际	2008-10-31		139500		
554212	浙江省国际贸易集团有限公司	浙江国贸	2008-10-30				
559068	有限公司	广西正和	2011-07-06		3200000		
559689			2011-08-22				
560121	中国航天科工集团公司	科工集团	2013-06-27		240000		
561705	浙江天越创业投资有限公司	天越创投					
563329	深圳市创新资本投资有限公司	创新投	2011-09-28				
563798	浙江	纸业	2011-02-28				
569688	上海张江高科技园区开发股份有限公司	张江高科	2014-03-31	17.680000			
57145			2010-11-22	22.470000			
571843	上海领汇创业投资有限公司	上海领汇	2012-12-18				
574270		KPCB	2012-09-11	14.600000	600000		0.051900
575402	天水	微电子	2012-07-13				
576687		海南凯兴科技开发	2012-05-29			1120	
576831	杭州立元创业投资有限公司	杭州立元	2012-05-18				
580603	发展有限公司	西藏瑞华	2014-06-11				
581810	杭州如山创业投资有限公司	如山创业					
582471	中国长安汽车集团股份有限公司	中国长安					
588686	有限公司	南昌高新科技	2010-04-28				0.107200
591581		凯恩集团		9.900000		62200603	0.319300
593157	南京彤天科技实业有限责任公司	南京彤天	2010-01-13		7500000		
5936419	上海挚信投资管理有限公司	挚信投资	2016-06-22				
603225	湖南永清投资集团有限责任公司	永清集团	2014-05-12				
603819			2014-05-09	6.680000			
607159	杭州	投资	2014-03-13	8.320000	2436000		
61038		湘江产业投资	2014-05-12	16.220000	62000		
613639			2014-04-29				
618420	深圳市创新投资集团有限公司	创新投资	2009-03-09		4571532		0.037500
619146	普林电子有限公司	香港普林	2009-02-03		10000000		
619563	河南	集团	2008-12-30	13.590000			
622030	冀东发展集团有限责任公司		2010-10-29		7764037		
6343090			2016-06-27				
6415346			2016-06-29				
65745		人通威集团					
7079	三亚成大投资有限公司	三亚成大	2014-04-23				
718838	刘骞						
726978	深圳市	深圳市国资委	2013-06-25				
727037	发展有限公司	中海恒	2013-06-21	14.400000			
745283		日月投资	2013-01-10	15.250000			
75085	南京	管理局					
7544	发展有限公司	西藏瑞华	2014-06-04	14.780000			
76266	管理有限公司	湖北银泰			5277023		
767942	武汉当代科技产业集团股份有限公司	当代科技	2013-12-09	6.760000	5000000	16987958	
80421		新疆信安	2014-12-19	13.720000			
809336	有限公司	宏源证券	2008-12-19				
823456	天津南开戈德集团有限公司	戈德集团	2008-04-30				0.075100
828203	东莞市锦麟实业有限公司	锦麟实业	2007-12-26				0.013900
82822	湖南高新创业投资集团有限公司	高新创投	2014-12-29				
831070		天津燕宇置业	2007-10-18				
834548	东莞市	实业	2007-06-22				0.015100
835643	武汉华中科技大	集团	2007-05-23			134057631	
838758	佛山富硕宏信投资有限公司	富硕宏信公司	2007-02-15			139438410	
839007		彩凤公司	2007-02-12		3120000		
88207	新余高新区	投资	2015-03-10				
8824618	福建	投资	2016-07-04				
88294	江苏舜天国际集团机械进出口股份有限公司	舜天集团	2015-03-17				
8867137	通鼎集团有限公司	通鼎集团					
8870458	有限公司	中国泛海	2015-07-02				
897941	天津市大通建设发展集团有限公司	天津大通	2014-03-20				
900088	广东	昌投资	2014-03-18				
901307	佛山富硕宏信投资有限公司		2013-12-25				
9024082	有限公司	中兆投资					0.354600
9025595	福建省燕京	啤酒		13.389000			
9028016		江苏高投	2016-07-01				
9028644			2016-07-04				
911111	有限公司	晋正企业	2014-03-03		1500000		
916053	浙江日发控股集团有限公司	日发集团	2012-01-05	20			
91879	重庆建峰工业集团有限公司	建峰集团	2015-01-20				
93013	置业发展有限责任公司	安徽皖	2015-01-20			14416600	
95124		中国新纪元	2015-03-16		3000000		
960125	河北省建设投资公司	河北建投	2006-01-27	3.400000	11530100		
969875	有限公司	晋正企业	2014-02-21				
97486	苏州	中国发	2015-03-19				
975695	投资管理合伙企业(有限合伙)	新疆利能	2014-02-17				
976756	长沙先导创业投资有限公司	长沙先导		14.430000			
977088	广东栢迪鑫投资有限公司	栢迪鑫	2014-02-14				
981497	江苏高鼎科技创业投资有限公司						
983626							
986203	珠海普天	电信					
9871915		信息集团	2015-07-09		2350050		
9875642	中心	北京同晟达信					
9878486		珠峰基石	2016-07-13	38.300000	5000000		
9881387							
9887501	广州珠江啤酒集团有限公司	珠啤集团	2016-01-13				
9891756	青岛汉河集团股份有限公司	集团	2016-07-19		108250500		
9901515							
991216	创业投资企业	上海联创	2014-02-10				
991718	浙江新湖集团股份有限公司	新湖集团	2014-01-31				
991790		光明食品集团	2013-02-08		990420		
99335	张家港保税区	时代	2015-03-23		59578759		
